City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
282,Tezpur,IN,2020-08-18 05:34:26,26.63,92.8,86.97,73,70,3.11
283,Leh,IN,2020-08-18 05:34:26,34.17,77.58,71.76,22,0,6.82
284,Cedar City,US,2020-08-18 05:34:27,37.68,-113.06,82.4,10,1,9.17
285,Taoudenni,ML,2020-08-18 05:34:27,22.68,-3.98,95.25,10,0,8.19
286,Andenes,NO,2020-08-18 05:34:27,69.31,16.12,50.0,93,75,18.34
287,Athens,GR,2020-08-18 05:33:23,37.98,23.72,80.01,49,0,4.05
288,Nemuro,JP,2020-08-18 05:34:27,43.32,145.57,66.2,88,75,6.93
289,Timbiqui,CO,2020-08-18 05:34:28,2.77,-77.67,74.64,94,99,3.8
290,Ixtapa,MX,2020-08-18 05:34:28,20.7,-105.2,79.0,94,90,5.3
291,Port Hedland,AU,2020-08-18 05:34:28,-20.32,118.57,82.4,15,0,8.05
292,Zhangye,CN,2020-08-18 05:34:28,38.93,100.45,86.02,13,0,6.87
293,Port Blair,IN,2020-08-18 05:34:28,11.67,92.75,85.66,70,100,14.65
294,Ponta Do Sol,PT,2020-08-18 05:34:29,32.67,-17.1,71.6,73,20,5.82
295,Pau Brasil,BR,2020-08-18 05:34:29,-15.46,-39.65,64.22,97,22,0.89
296,Shahrud,IR,2020-08-18 05:34:29,36.42,54.98,75.61,40,1,14.67
297,Talara,PE,2020-08-18 05:30:28,-4.58,-81.27,62.15,84,82,17.29
298,Svetlyy,RU,2020-08-18 05:34:29,54.67,20.13,61.0,100,75,6.71
299,Sambava,MG,2020-08-18 05:34:30,-14.27,50.17,73.11,81,97,14.0
300,Coquimbo,CL,2020-08-18 05:34:30,-29.95,-71.34,51.8,76,18,3.36
301,Bethel,US,2020-08-18 05:34:30,41.37,-73.41,66.99,100,40,3.6
